CaseID,ContractorName,ContractAmount,Status,SubmittedDate,ReviewedBy,ProgramOffice
C-2401-001,Northgate Defense Systems LLC,125000.00,Approved,2024-01-15,CPT Martinez,G4
C-2401-002,Meridian Logistics Group Inc,275000.00,Pending,2024-01-18,MAJ Williams,G8
C-2401-003,Sentinel Technical Services LLC,89500.00,Approved,2024-01-20,CPT Martinez,G4
C-2401-004,Ironridge Maintenance Corp,450000.00,Denied,2024-01-22,LTC Brown,G6
C-2401-005,Cascade Sustainment Solutions Inc,112000.00,Under Review,2024-01-25,MAJ Williams,G8
C-2401-006,Broadview Infrastructure Group,330000.00,Approved,2024-01-28,CPT Martinez,G4
C-2401-007,Highmark Technical Services LLC,195000.00,Pending,2024-02-01,LTC Brown,G6
C-2401-008,Ridgeline Contracting Corp,72000.00,Approved,2024-02-05,MAJ Williams,G8
C-2401-008,Ridgeline Contracting Corp,72000.00,Approved,2024-02-05,MAJ Williams,G8
C-2401-009,Titan Logistics and Supply Inc,880000.00,Pending,2024-02-08,CPT Martinez,G4
,Unlisted Contractor,5000.00,Pending,2024-02-10,MAJ Williams,G8
